 time (us) ,dim1 util,dim2 util,dim3 util,dim4 util,
10.000000,16.050000,0.000000,0.000000,0.000000,
20.000000,100.000000,0.000000,0.000000,0.000000,
30.000000,100.000000,0.000000,0.000000,0.000000,
40.000000,68.750000,0.000000,0.000000,0.000000,
50.000000,79.490000,0.000000,0.000000,0.000000,
60.000000,100.000000,0.000000,0.000000,0.000000,
70.000000,100.000000,0.000000,0.000000,0.000000,
80.000000,100.000000,0.000000,0.000000,0.000000,
90.000000,100.000000,0.000000,0.000000,0.000000,
100.000000,73.040000,0.000000,0.000000,0.000000,
110.000000,100.000000,0.000000,0.000000,0.000000,
120.000000,100.000000,0.000000,0.000000,0.000000,
130.000000,100.000000,0.000000,0.000000,0.000000,
140.000000,100.000000,0.000000,0.000000,0.000000,
150.000000,55.730000,0.000000,0.000000,0.000000,
160.000000,100.000000,0.000000,0.000000,0.000000,
170.000000,100.000000,0.000000,0.000000,0.000000,
180.000000,100.000000,0.000000,0.000000,0.000000,
190.000000,100.000000,0.000000,0.000000,0.000000,
200.000000,100.000000,0.000000,0.000000,0.000000,
210.000000,100.000000,0.000000,0.000000,0.000000,
220.000000,100.000000,0.000000,0.000000,0.000000,
230.000000,100.000000,0.000000,0.000000,0.000000,
240.000000,100.000000,0.000000,0.000000,0.000000,
250.000000,100.000000,0.000000,0.000000,0.000000,
260.000000,78.780000,0.000000,0.000000,0.000000,
270.000000,87.610000,0.000000,0.000000,0.000000,
280.000000,100.000000,0.000000,0.000000,0.000000,
290.000000,100.000000,0.000000,0.000000,0.000000,
300.000000,100.000000,0.000000,0.000000,0.000000,
310.000000,100.000000,0.000000,0.000000,0.000000,
320.000000,66.550000,0.000000,0.000000,0.000000,
330.000000,100.000000,0.000000,0.000000,0.000000,
340.000000,100.000000,0.000000,0.000000,0.000000,
350.000000,100.000000,0.000000,0.000000,0.000000,
360.000000,100.000000,0.000000,0.000000,0.000000,
370.000000,64.060000,7.940000,7.940000,7.940000,
380.000000,100.000000,100.000000,100.000000,100.000000,
390.000000,100.000000,100.000000,100.000000,100.000000,
400.000000,70.550000,100.000000,77.110000,100.000000,
410.000000,100.000000,100.000000,100.000000,100.000000,
420.000000,97.310000,56.540000,100.000000,100.000000,
430.000000,58.420000,51.960000,100.000000,66.700000,
440.000000,100.000000,100.000000,100.000000,100.000000,
450.000000,100.000000,100.000000,100.000000,100.000000,
460.000000,100.000000,100.000000,100.000000,100.000000,
470.000000,100.000000,100.000000,19.490000,100.000000,
480.000000,99.660000,100.000000,29.130000,100.000000,
490.000000,66.730000,100.000000,100.000000,100.000000,
500.000000,100.000000,100.000000,100.000000,100.000000,
510.000000,84.150000,100.000000,45.810000,100.000000,
520.000000,88.890000,100.000000,85.410000,77.030000,
530.000000,100.000000,100.000000,89.220000,100.000000,
540.000000,61.990000,100.000000,36.490000,75.030000,
550.000000,0.000000,100.000000,38.090000,31.540000,
560.000000,0.000000,100.000000,100.000000,100.000000,
570.000000,0.000000,91.640000,100.000000,100.000000,
580.000000,0.000000,0.000000,100.000000,100.000000,
590.000000,0.000000,19.250000,100.000000,66.110000,
600.000000,0.000000,0.000000,100.000000,0.000000,
,,,,
