 time (us) ,dim1 util,dim2 util,dim3 util,dim4 util,
10.000000,16.050000,0.000000,0.000000,0.000000,
20.000000,100.000000,0.000000,0.000000,0.000000,
30.000000,100.000000,0.000000,0.000000,0.000000,
40.000000,100.000000,0.000000,0.000000,0.000000,
50.000000,100.000000,0.000000,0.000000,0.000000,
60.000000,48.240000,0.000000,0.000000,0.000000,
70.000000,100.000000,0.000000,0.000000,0.000000,
80.000000,100.000000,0.000000,0.000000,0.000000,
90.000000,100.000000,0.000000,0.000000,0.000000,
100.000000,100.000000,0.000000,0.000000,0.000000,
110.000000,100.000000,0.000000,0.000000,0.000000,
120.000000,100.000000,0.000000,0.000000,0.000000,
130.000000,96.670000,0.000000,0.000000,0.000000,
140.000000,76.370000,0.000000,0.000000,0.000000,
150.000000,100.000000,0.000000,0.000000,0.000000,
160.000000,100.000000,0.000000,0.000000,0.000000,
170.000000,100.000000,0.000000,0.000000,0.000000,
180.000000,100.000000,0.000000,0.000000,0.000000,
190.000000,100.000000,0.000000,0.000000,0.000000,
200.000000,100.000000,0.000000,0.000000,0.000000,
210.000000,59.630000,0.000000,0.000000,0.000000,
220.000000,96.100000,0.000000,0.000000,0.000000,
230.000000,100.000000,0.000000,0.000000,0.000000,
240.000000,100.000000,0.000000,0.000000,0.000000,
250.000000,100.000000,0.000000,0.000000,0.000000,
260.000000,100.000000,0.000000,0.000000,0.000000,
270.000000,100.000000,0.000000,0.000000,0.000000,
280.000000,100.000000,0.000000,0.000000,0.000000,
290.000000,100.000000,0.000000,0.000000,0.000000,
300.000000,100.000000,0.000000,0.000000,0.000000,
310.000000,100.000000,0.000000,0.000000,0.000000,
320.000000,100.000000,0.000000,0.000000,0.000000,
330.000000,100.000000,0.000000,0.000000,0.000000,
340.000000,100.000000,0.000000,0.000000,0.000000,
350.000000,100.000000,0.000000,0.000000,0.000000,
360.000000,100.000000,0.000000,0.000000,0.000000,
370.000000,100.000000,0.000000,0.000000,0.000000,
380.000000,66.390000,0.000000,0.000000,0.000000,
390.000000,100.000000,0.000000,0.000000,0.000000,
400.000000,100.000000,0.000000,0.000000,0.000000,
410.000000,100.000000,0.000000,0.000000,0.000000,
420.000000,100.000000,0.000000,0.000000,0.000000,
430.000000,100.000000,0.000000,0.000000,0.000000,
440.000000,100.000000,0.000000,0.000000,0.000000,
450.000000,100.000000,0.000000,0.000000,0.000000,
460.000000,66.550000,0.000000,0.000000,0.000000,
470.000000,100.000000,0.000000,0.000000,0.000000,
480.000000,100.000000,0.000000,0.000000,0.000000,
490.000000,100.000000,0.000000,0.000000,0.000000,
500.000000,100.000000,0.000000,0.000000,0.000000,
510.000000,100.000000,0.000000,0.000000,0.000000,
520.000000,100.000000,0.000000,0.000000,0.000000,
530.000000,94.800000,0.000000,0.000000,0.000000,
540.000000,69.260000,43.300000,43.300000,43.300000,
550.000000,100.000000,100.000000,100.000000,100.000000,
560.000000,100.000000,100.000000,100.000000,100.000000,
570.000000,100.000000,100.000000,100.000000,100.000000,
580.000000,70.550000,100.000000,75.690000,100.000000,
590.000000,100.000000,100.000000,100.000000,100.000000,
600.000000,100.000000,100.000000,100.000000,100.000000,
610.000000,100.000000,46.360000,100.000000,100.000000,
620.000000,55.730000,51.760000,100.000000,81.180000,
630.000000,100.000000,100.000000,100.000000,100.000000,
640.000000,100.000000,100.000000,100.000000,100.000000,
650.000000,100.000000,100.000000,100.000000,100.000000,
660.000000,100.000000,100.000000,100.000000,100.000000,
670.000000,100.000000,100.000000,100.000000,100.000000,
680.000000,100.000000,100.000000,44.970000,100.000000,
690.000000,100.000000,100.000000,0.000000,100.000000,
700.000000,82.700000,100.000000,29.210000,100.000000,
710.000000,83.690000,100.000000,100.000000,100.000000,
720.000000,100.000000,100.000000,100.000000,100.000000,
730.000000,100.000000,100.000000,100.000000,100.000000,
740.000000,90.070000,100.000000,100.000000,100.000000,
750.000000,82.970000,100.000000,64.190000,98.650000,
760.000000,100.000000,100.000000,100.000000,100.000000,
770.000000,100.000000,100.000000,72.600000,100.000000,
780.000000,90.790000,100.000000,42.600000,98.060000,
790.000000,0.000000,100.000000,11.950000,0.960000,
800.000000,0.000000,100.000000,33.800000,33.800000,
810.000000,0.000000,100.000000,100.000000,100.000000,
820.000000,0.000000,100.000000,100.000000,100.000000,
830.000000,0.000000,98.280000,100.000000,100.000000,
840.000000,0.000000,0.000000,100.000000,100.000000,
850.000000,0.000000,0.000000,100.000000,100.000000,
860.000000,0.000000,36.770000,100.000000,74.460000,
870.000000,0.000000,0.000000,100.000000,0.000000,
880.000000,0.000000,14.610000,95.830000,17.510000,
,,,,
