RunName,CommsTime,ComputeTime,ExposedCommsTime,Cost,TotalPayloadSize,PayloadSize_Dim0,PayloadSize_Dim1,PayloadSize_Dim2,PayloadSize_Dim3,PayloadSize_Dim4,PayloadSize_Dim5,PayloadSize_Dim6
DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,110980.125000,281.346000,110698.779000,896842.000000,19438.150024,11507.555901,7930.594124,-1,-1,-1,-1,-1
DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,79998.355000,281.346000,79717.009000,1205218.000000,19438.150024,6613.281880,6477.898885,6346.969259,-1,-1,-1,-1
DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,68943.107000,281.346000,68661.761000,1153414.000000,19438.150024,11039.950110,5621.660710,2776.539204,-1,-1,-1,-1
DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,75563.897000,281.346000,75282.551000,1000148.000000,19438.149796,10322.657623,5989.807305,3125.684868,-1,-1,-1,-1
DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,35617.193000,281.346000,35335.847000,1409414.000000,19438.150022,8012.573278,6487.680338,3329.321114,1608.575292,-1,-1,-1
DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,26758.441000,281.346000,26477.095000,1537748.000000,19438.149913,9042.144653,4214.723401,3762.155474,2419.126385,-1,-1,-1
