,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,363.010063,1.897000,1.356719,1.210281,0.000000,1.198406,15916.805094,62.611266,1.263083,0.535370,0.091906,0.015479,0.015479,0.091906,0.535370,1.263083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_1_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,178.974766,0.772484,59855.381031,195.732531,0.304906,0.015271,0.015271,0.304906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,151.994281,0.687734,0.782250,0.000438,44561.274781,86.020969,0.523552,0.055121,0.006514,0.006514,0.055121,0.523552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,142.105938,5.509781,7.283922,0.001313,40990.808266,111.932359,0.448776,0.047441,0.008275,0.008275,0.047441,0.448776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,153.205016,5.751812,7.131344,0.000000,42346.817797,109.832172,0.757469,0.058609,0.007656,0.007656,0.058609,0.757469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,88.430594,23.138922,16.109484,9.002297,0.000000,0.534188,21743.556000,34.322875,0.331641,0.113365,0.029253,0.007750,0.007750,0.029253,0.113365,0.331641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,45.379359,0.460750,0.308641,0.295078,0.001094,0.372406,16163.907469,17.822891,0.316318,0.134391,0.023266,0.004667,0.004667,0.023266,0.134391,0.316318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_1_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,1566.664000,3.657109,58561.688266,2043.058313,1.367844,0.064479,0.064479,1.367844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,1312.698016,3.957328,3.209484,0.000000,43508.013063,802.950266,2.351021,0.243741,0.024938,0.024938,0.243741,2.351021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,1133.887453,4.106797,5.202016,0.000000,40094.110266,813.384859,2.014448,0.209284,0.032882,0.032882,0.209284,2.014448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,1229.470266,3.315016,4.419141,0.004250,41411.293016,851.415859,3.406505,0.262240,0.031526,0.031526,0.262240,3.406505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,700.893328,3.348625,1.627391,1.659188,0.000000,1.961391,21334.501875,196.451875,1.489594,0.505922,0.128203,0.030802,0.030802,0.128203,0.505922,1.489594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,500.211391,2.745047,1.557438,1.721406,0.000000,1.705828,15820.780094,115.234141,1.421177,0.602260,0.103453,0.017625,0.017625,0.103453,0.602260,1.421177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_1_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,414.066047,1.460406,59641.519797,958.084687,0.608531,0.029250,0.029250,0.608531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,344.803906,1.882500,1.388625,0.000000,44389.497984,397.281938,1.045719,0.109043,0.011723,0.011723,0.109043,1.045719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,310.917203,3.334094,7.206016,0.000000,40845.931250,409.608016,0.896125,0.093686,0.015225,0.015225,0.093686,0.896125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,333.694813,5.034328,5.629141,0.000000,42195.887875,436.888875,1.514464,0.116755,0.014370,0.014370,0.116755,1.514464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,188.060156,28.280719,14.758328,3.398266,0.001187,0.813719,21684.087188,101.976062,0.662531,0.225578,0.057456,0.014271,0.014271,0.057456,0.225578,0.662531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,121.509609,1.192969,0.600266,0.702141,0.000000,0.867000,16108.294266,60.115047,0.631953,0.267901,0.046187,0.008188,0.008188,0.046187,0.267901,0.631953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_2_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,529.870094,1.665062,59534.701406,860.037875,0.608531,0.029250,0.029250,0.608531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,447.179781,1.677094,1.689375,0.000000,44299.131672,348.437844,1.045719,0.109043,0.011723,0.011723,0.109043,1.045719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,399.235594,3.454328,1.878062,0.000000,40772.040031,363.956734,0.896125,0.093686,0.015225,0.015225,0.093686,0.896125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,429.119656,1.806859,3.031844,0.000000,42119.255438,384.809312,1.514464,0.116755,0.014370,0.014370,0.116755,1.514464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,244.972062,14.801078,6.515562,2.089609,0.001187,0.748313,21660.645406,87.654797,0.662531,0.225578,0.057456,0.014271,0.014271,0.057456,0.225578,0.662531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,167.886047,1.163656,0.742297,0.827484,0.000000,0.797937,16075.355297,42.665312,0.631953,0.267901,0.046187,0.008188,0.008188,0.046187,0.267901,0.631953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_2_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,1794.034672,3.826625,58355.557078,1817.993313,1.367844,0.064479,0.064479,1.367844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,1505.150375,4.177812,3.307313,0.000000,43340.099062,694.850125,2.351021,0.243741,0.024938,0.024938,0.243741,2.351021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,1299.609375,3.549562,5.413641,0.000000,39949.759328,713.266281,2.014448,0.209284,0.032882,0.032882,0.209284,2.014448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,1407.887141,4.129672,4.794750,0.000000,41260.287031,733.793672,3.406505,0.262240,0.031526,0.031526,0.262240,3.406505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,804.415016,3.185250,2.117859,1.782469,0.000000,2.389172,21261.157312,160.824594,1.489594,0.505922,0.128203,0.030802,0.030802,0.128203,0.505922,1.489594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,578.608453,2.946375,1.811531,1.895156,0.000000,2.256703,15767.801109,87.876031,1.421177,0.602260,0.103453,0.017625,0.017625,0.103453,0.602260,1.421177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_2_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,619.673813,1.637922,59455.063516,768.617844,0.608531,0.029250,0.029250,0.608531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,505.645406,1.769828,1.510438,0.000000,44250.497578,311.903453,1.045719,0.109043,0.011723,0.011723,0.109043,1.045719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,442.269984,3.659422,8.362297,0.000000,40731.360516,331.319969,0.896125,0.093686,0.015225,0.015225,0.093686,0.896125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,492.599672,3.807891,5.406016,0.000000,42063.571750,340.035984,1.514464,0.116755,0.014370,0.014370,0.116755,1.514464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,274.826703,9.621719,13.007531,3.898609,0.000000,0.850250,21639.023531,83.262516,0.662531,0.225578,0.057456,0.014271,0.014271,0.057456,0.225578,0.662531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,179.627516,1.044641,0.860484,0.840547,0.000000,0.831094,16069.679828,39.695437,0.631953,0.267901,0.046187,0.008188,0.008188,0.046187,0.267901,0.631953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_3_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,725.967531,1.626625,59358.071906,667.552844,0.608531,0.029250,0.029250,0.608531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,600.669297,1.731422,1.642047,0.000000,44167.033375,261.838375,1.045719,0.109043,0.011723,0.011723,0.109043,1.045719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,539.276625,3.391563,2.430781,0.000000,40650.436266,279.386750,0.896125,0.093686,0.015225,0.015225,0.093686,0.896125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,582.301031,2.202937,3.723156,0.000656,41990.246562,285.864609,1.514464,0.116755,0.014370,0.014370,0.116755,1.514464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,333.119062,8.286219,7.339172,0.890297,0.000000,0.809547,21604.767406,77.123578,0.662531,0.225578,0.057456,0.014271,0.014271,0.057456,0.225578,0.662531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,228.184937,1.150453,0.845156,0.947562,0.000000,0.880703,16034.930250,29.716938,0.631953,0.267901,0.046187,0.008188,0.008188,0.046187,0.267901,0.631953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_3_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,2021.437344,3.578125,58149.811906,1592.928312,1.367844,0.064479,0.064479,1.367844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,1697.583312,4.382422,3.875547,0.000000,43171.863328,586.636609,2.351021,0.243741,0.024938,0.024938,0.243741,2.351021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,1465.398688,4.605094,5.769875,0.000000,39803.733891,612.816937,2.014448,0.209284,0.032882,0.032882,0.209284,2.014448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,1586.345578,4.717969,5.102109,0.000000,41109.867969,616.537844,3.406505,0.262240,0.031526,0.031526,0.262240,3.406505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,907.984312,3.290391,2.313547,1.879453,0.000000,2.753344,21188.233797,125.416562,1.489594,0.505922,0.128203,0.030802,0.030802,0.128203,0.505922,1.489594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,657.149219,2.795875,2.070031,1.614797,0.000000,1.826828,15715.349266,49.847500,1.421177,0.602260,0.103453,0.017625,0.017625,0.103453,0.602260,1.421177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_3_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,812.737891,1.796437,59280.989172,579.107313,0.608531,0.029250,0.029250,0.608531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,683.775094,1.962375,1.403328,0.000000,44095.904703,217.920750,1.045719,0.109043,0.011723,0.011723,0.109043,1.045719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,573.458547,3.459891,8.847516,0.000656,40618.230563,252.649297,0.896125,0.093686,0.015225,0.015225,0.093686,0.896125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,651.666156,1.867766,5.765125,0.000656,41932.176922,239.109750,1.514464,0.116755,0.014370,0.014370,0.116755,1.514464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,346.370500,12.452531,14.057906,4.366734,0.000000,1.279828,21588.439766,69.560563,0.662531,0.225578,0.057456,0.014271,0.014271,0.057456,0.225578,0.662531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,244.791937,1.049625,0.762641,0.765906,0.000000,0.821438,16024.991250,30.317969,0.631953,0.267901,0.046187,0.008188,0.008188,0.046187,0.267901,0.631953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_4_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,937.148719,1.662562,59168.035906,464.114250,0.608531,0.029250,0.029250,0.608531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,763.552844,1.597781,1.647734,0.000000,44025.775516,173.228281,1.045719,0.109043,0.011723,0.011723,0.109043,1.045719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,679.860063,4.292375,2.600281,0.000000,40528.126672,193.918031,0.896125,0.093686,0.015225,0.015225,0.093686,0.896125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,737.304984,2.458156,3.896609,0.000000,41860.857641,185.208828,1.514464,0.116755,0.014370,0.014370,0.116755,1.514464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,415.161844,8.935391,7.762578,0.886703,0.000000,1.048156,21549.727687,45.826984,0.662531,0.225578,0.057456,0.014271,0.014271,0.057456,0.225578,0.662531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,294.652281,1.361375,0.834688,0.785391,0.000000,0.978234,15988.588063,19.782422,0.631953,0.267901,0.046187,0.008188,0.008188,0.046187,0.267901,0.631953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_4_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,2248.696797,3.608906,57943.930672,1367.863312,1.367844,0.064479,0.064479,1.367844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,1890.741328,4.206000,4.585359,0.000000,43006.439641,475.125422,2.351021,0.243741,0.024938,0.024938,0.243741,2.351021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,1631.129094,5.003734,5.058063,0.000000,39661.417687,510.748766,2.014448,0.209284,0.032882,0.032882,0.209284,2.014448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,1764.975031,4.824125,6.028906,0.000000,40959.227828,501.174047,3.406505,0.262240,0.031526,0.031526,0.262240,3.406505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,1012.632828,3.288578,2.059438,2.047188,0.000000,2.672938,21115.537109,91.199906,1.489594,0.505922,0.128203,0.030802,0.030802,0.128203,0.505922,1.489594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,735.205063,2.894203,2.051047,1.901984,0.000000,2.203969,15662.139094,38.443625,1.421177,0.602260,0.103453,0.017625,0.017625,0.103453,0.602260,1.421177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_4_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,1007.289172,2.192516,59105.410563,355.514187,0.608531,0.029250,0.029250,0.608531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,846.091094,2.027125,1.855344,0.000000,43955.188953,128.524547,1.045719,0.109043,0.011723,0.011723,0.109043,1.045719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,729.364578,4.242328,5.881344,0.000000,40484.814188,163.083687,0.896125,0.093686,0.015225,0.015225,0.093686,0.896125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,791.018922,4.990156,5.940859,0.000656,41813.860781,148.648328,1.514464,0.116755,0.014370,0.014370,0.116755,1.514464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,436.870766,8.670781,11.601313,4.696234,0.001063,1.060219,21532.302016,37.564719,0.662531,0.225578,0.057456,0.014271,0.014271,0.057456,0.225578,0.662531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,300.928297,1.278250,0.673828,0.941156,0.000000,1.052266,15988.035516,27.145266,0.631953,0.267901,0.046187,0.008188,0.008188,0.046187,0.267901,0.631953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_256_1_conv4,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,7030.804422,10.966422,53450.214969,7026.408375,4.859313,0.224865,0.224865,4.859313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
