,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,7.166594,8.187062,12.341016,23.111953,0.000000,0.450094,21768.873437,22.508781,0.042125,0.014979,0.004570,0.002135,0.002135,0.004570,0.014979,0.042125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,1.373297,0.132969,0.053203,0.049813,0.000000,0.075578,16169.675094,7.691281,0.039797,0.017063,0.003609,0.001437,0.001437,0.003609,0.017063,0.039797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,215.064938,0.895328,59789.198297,346.059375,0.343094,0.017323,0.017323,0.343094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,176.942406,1.043828,0.821719,0.000000,44506.370719,146.750047,0.588948,0.062138,0.007596,0.007596,0.062138,0.588948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,160.790672,0.842187,0.737109,0.000000,40952.015203,171.457031,0.504896,0.053500,0.009483,0.009483,0.053500,0.504896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,175.196844,0.954375,0.813484,0.000000,42307.386875,173.165016,0.851969,0.066109,0.008865,0.008865,0.066109,0.851969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,96.651219,17.977172,8.175500,0.221969,0.000000,0.589609,21732.915641,45.659328,0.373187,0.127609,0.033010,0.008885,0.008885,0.033010,0.127609,0.373187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,48.380469,0.523828,0.428422,0.400766,0.000000,0.444969,16134.984625,26.327547,0.355870,0.151250,0.026594,0.005292,0.005292,0.026594,0.151250,0.355870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,42.798219,0.408938,59953.820656,128.579187,0.153094,0.008281,0.008281,0.153094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,32.293312,0.417781,0.304297,0.000000,44642.955156,61.436594,0.262583,0.028158,0.003798,0.003798,0.028158,0.262583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,37.866000,10.761828,17.386297,0.000000,41039.794328,99.465063,0.225151,0.024332,0.004755,0.004755,0.024332,0.225151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,41.906047,11.562406,14.743359,0.000000,42395.930859,104.413906,0.378839,0.029672,0.004245,0.004245,0.029672,0.378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
