RunName,CommsTime,ComputeTime,ExposedCommsTime,Cost,TotalPayloadSize,PayloadSize_Dim0,PayloadSize_Dim1,PayloadSize_Dim2,PayloadSize_Dim3,PayloadSize_Dim4,PayloadSize_Dim5,PayloadSize_Dim6
DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,2558354.119000,142724.975000,2415629.144000,896842.000000,746395.642090,562500.128746,183895.513344,-1,-1,-1,-1,-1
DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,2944006.836000,142724.975000,2801281.861000,1205218.000000,746395.642090,439903.119850,153345.449638,153147.072601,-1,-1,-1,-1
DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,1764850.013000,142724.975000,1622125.038000,1153414.000000,746395.642090,542265.670967,134698.008156,69431.962967,-1,-1,-1,-1
DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,9537096.170000,142724.975000,9394371.195000,1000148.000000,746395.642090,512877.529907,155159.182549,78358.929634,-1,-1,-1,-1
DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,1722272.518000,142724.975000,1579547.543000,1409414.000000,746395.642090,283893.750000,258371.920967,134698.008156,69431.962967,-1,-1,-1
DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,1451207.825000,142724.975000,1308482.850000,1537748.000000,746395.642090,283893.750000,190838.709641,160175.287628,111487.894821,-1,-1,-1
