,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP_Top_0,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-microAllReduce.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,1.6630001.9460003.6770000.8980000.000000,1.1640001.9460002.6950001.9460000.000000,1.6630001.9460003.6770000.8980000.000000,0.00000012.9760008680.7770000.0000000.000000,0.0000000.0000000.0000000.00000055477.234000,0.00000023.2850007800.4630000.0000000.000000,0.00000012.9760000.0000008680.7770000.000000,119855.29200012061.001000261327.6310000.00000055477.234000,0.00000025.2320000.0000007803.1590000.000000,143111.88500020397.0440004567110.06800048054.05000055477.234000,0.000000,55477.234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-microAllReduce.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,1.6630001.9460003.6770000.8980000.000000,1.1640001.9460002.6950001.9460000.000000,1.6630001.9460003.6770000.8980000.000000,0.00000012.9760008680.8270000.0000000.000000,0.0000000.0000000.0000000.00000055477.334000,0.00000023.2850007800.5630000.0000000.000000,0.00000012.9760008680.8270000.0000000.000000,119855.29200012061.0010000.000000261327.63100055477.334000,0.00000025.2320007803.2590000.0000000.000000,143111.93500020397.14400048054.8500004567110.06800055477.334000,0.000000,55477.334000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP_Top_1,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.6650002.5950001.9460002.845000,0.4650002.5950000.9480003.677000,0.6650002.5950001.9460002.695000,0.00000013.2250003858.3380000.000000,0.0000000.0000000.0000000.000000,0.00000022.8850003467.4250000.000000,0.00000013.2250003858.3380000.000000,131375.22200010622.9240000.000000264678.246000,0.00000025.4810003468.3740000.000000,143111.88500020397.04400048054.0500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.6650002.5950001.9460002.845000,0.4650002.5950000.9480003.677000,0.6650002.5950001.9460002.695000,0.00000013.2250003858.3880000.000000,0.0000000.0000000.0000000.000000,0.00000022.8850003467.5250000.000000,0.00000013.2250003858.3880000.000000,131375.22200010622.9240000.000000264678.246000,0.00000025.4810003468.4740000.000000,143111.93500020397.14400048054.8500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP_Top_2,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.6650002.5950000.898000,0.4650000.8980001.946000,0.6650002.5950000.948000,0.0000003858.5870000.000000,0.0000000.0000000.000000,0.0000003467.7240000.000000,0.0000003858.5870000.000000,143096.7340000.000000266116.749000,0.0000003468.6230000.000000,143111.88500048054.0500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.6650002.5950000.898000,0.4650000.8980001.946000,0.6650002.5950000.948000,0.0000003858.6370000.000000,0.0000000.0000000.000000,0.0000003467.8240000.000000,0.0000003858.6370000.000000,143096.7340000.000000266116.749000,0.0000003468.7230000.000000,143111.93500048054.8500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,267584.949000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.948000,2.595000,0.898000,0.000000,0.000000,0.000000,0.000000,267584.949000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,270917.622000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,2.845000,3.677000,2.695000,0.000000,0.000000,0.000000,0.000000,270917.622000,0.000000,4567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
