RunName,CommsTime,ComputeTime,ExposedCommsTime,Cost,TotalPayloadSize,PayloadSize_Dim0,PayloadSize_Dim1,PayloadSize_Dim2,PayloadSize_Dim3,PayloadSize_Dim4,PayloadSize_Dim5,PayloadSize_Dim6
DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,420381.492000,50.741000,420330.751000,896842.000000,43710.397339,685.976028,43024.421310,-1,-1,-1,-1,-1
DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,149587.806000,50.741000,149537.065000,1205218.000000,43710.397339,13854.169607,14609.740591,15246.487141,-1,-1,-1,-1
DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,178004.417000,50.741000,177953.676000,1153414.000000,43710.397339,23561.043978,13180.235243,6969.118118,-1,-1,-1,-1
DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,205591.323000,50.741000,205540.582000,1000148.000000,43710.397339,19816.458559,14778.242826,9115.695953,-1,-1,-1,-1
DDL_themis-MLP_ModelParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,91400.806000,50.741000,91350.065000,1409414.000000,43710.397339,16292.324638,15172.761726,7848.356533,4396.954441,-1,-1,-1
DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,71292.711000,50.741000,71241.970000,1537748.000000,43710.397339,18997.999191,10034.556770,8388.347626,6289.493752,-1,-1,-1
