,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,network delay phase 1,network delay phase 2,,,,,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,31.967266,89.122633,1570.792883,825.037914,0.000000,0.109711,2.750781,0.639984,1.130576,6.278714,29.363661,91.045836,0.001292,0.005914,0.033750,0.079112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_mlp3,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,351.634937,33728.748961,14.699344,12.978625,2.854672,180.253911,0.008661,0.171547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,115.750078,1206.839547,11052.533742,0.000000,13.169984,9.220367,3.297377,31.380239,302.736565,0.003798,0.031069,0.294474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,179.845695,7119.999805,5823.493539,0.000000,11.257469,7.357328,4.072622,30.526553,268.673472,0.004742,0.026750,0.252448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,203.074594,8561.087906,7736.939219,0.000000,19.924266,5.534562,4.438755,31.102443,426.654810,0.004432,0.033055,0.425984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,133.939500,480.883914,3976.377961,1980.593156,0.000000,0.207234,8.019094,1.760969,3.497931,17.362542,69.137720,201.921701,0.004443,0.016505,0.063805,0.186594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,71.754586,200.519234,3534.271242,1849.884453,0.000000,0.216992,5.967922,1.377953,2.543315,14.126375,66.067529,204.852172,0.002646,0.013297,0.075625,0.177935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_mlp4,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,156.636805,14990.626805,13.351562,5.142406,1.269422,80.113557,0.004141,0.076547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,51.689742,536.423969,4912.288914,0.000000,8.497195,2.473234,1.466287,13.947405,134.550261,0.001899,0.014079,0.131292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,80.040453,3164.524773,2588.252477,0.000000,5.080367,3.318633,1.810799,13.567981,119.411141,0.002378,0.012166,0.112576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
